condition,split,metric,metric_kind,directional_hypothesis,n_paired_proteins,flex_minus_rigid_mean,flex_minus_rigid_median,sign_flip_null_mean,sign_flip_null_std,sign_flip_z,p_upper,p_lower,p_two_sided,p_upper_q_bh,p_lower_q_bh,p_two_sided_q_bh
esm2_top28_bilstm_attn,train,distance_to_neq_top10,distance,flexibility-supporting lower,926,-5.9687316575557015,-6.0,0.002597991477183568,0.24940622600321513,-23.94218358027641,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.00039996000399960006,0.00010433739234772175
esm2_top28_bilstm_attn,train,q3_is_H,binary,two-sided,926,-0.7042112918369395,-0.8,-0.0003046467165822956,0.025712236574973766,-27.376328895693334,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.00039996000399960006,0.00010433739234772175
esm2_top28_bilstm_attn,train,q3_is_E,binary,two-sided,926,-0.19985417127913066,0.0,0.00012348372055144438,0.011574518799517866,-17.277405520133772,1.0,9.999000099990002e-05,9.999000099990002e-05,1.0,0.00039996000399960006,0.00010433739234772175
esm2_top28_bilstm_attn,train,q3_is_C,binary,two-sided,926,0.9040654631160703,1.0,-0.0004299599922953284,0.030382809785389004,29.769972872730637,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top28_bilstm_attn,train,q8_is_T,binary,upper,926,0.26161887180073706,0.25,-2.6365646151001837e-05,0.011762670845347148,22.24369285572457,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top28_bilstm_attn,train,q8_is_S,binary,upper,926,0.1007674759325447,0.0,1.7487127246422384e-05,0.006208510563226873,16.227722861911907,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top28_bilstm_attn,train,q8_turn_or_bend_TS,binary,upper,926,0.3623863477332818,0.3333333333333333,-5.795707376778109e-06,0.014949471928505756,24.24113341084957,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top28_bilstm_attn,train,q8_loop_turn_bend_CTS,binary,upper,926,0.884467560355551,1.0,-4.6917240621714995e-05,0.029644438390749896,29.837450989531046,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top28_bilstm_attn,train,structured_linker_loop,binary,upper,926,0.7107145153071336,0.75,6.34968535564911e-05,0.025028998321293853,28.393106640986847,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
esm2_top28_bilstm_attn,train,q3_boundary_within2,binary,upper,926,0.35951267195850733,0.39999999999999997,-0.00010007584979692127,0.018467483038058174,19.47275365393361,9.999000099990002e-05,1.0,9.999000099990002e-05,0.00014116235435280002,1.0,0.00010433739234772175
